freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.468e+02,6.309e+00,4.098e+00,3.572e+02
1.5,2.023e+02,1.365e+01,1.504e+01,2.310e+02
3.1,1.264e+01,1.312e+01,1.776e+01,4.352e+01
4.6,1.289e+01,1.427e+01,2.004e+01,4.720e+01
6.2,1.174e+01,1.436e+01,1.936e+01,4.546e+01
7.7,1.296e+01,1.259e+01,1.921e+01,4.477e+01
9.2,1.411e+01,1.323e+01,1.866e+01,4.599e+01
10.8,1.269e+01,1.413e+01,1.954e+01,4.636e+01
12.3,1.401e+01,1.758e+01,1.934e+01,5.094e+01
13.8,1.936e+01,1.880e+01,1.973e+01,5.789e+01
15.4,2.414e+01,1.887e+01,1.973e+01,6.274e+01
16.9,2.788e+01,3.723e+01,1.955e+01,8.466e+01
18.5,4.633e+02,2.122e+02,2.475e+01,7.002e+02
20.0,6.616e+03,1.422e+03,6.023e+01,8.099e+03
21.5,1.142e+04,1.322e+03,8.256e+01,1.282e+04
23.1,1.427e+04,2.807e+02,7.354e+01,1.463e+04
24.6,1.981e+04,6.625e+01,8.545e+01,1.996e+04
26.1,2.594e+04,2.855e+01,1.382e+02,2.611e+04
27.7,3.198e+04,2.130e+01,2.515e+02,3.225e+04
29.2,3.699e+04,1.810e+01,2.573e+02,3.727e+04
30.8,4.594e+04,1.759e+01,1.849e+02,4.614e+04
32.3,5.812e+04,2.008e+01,2.411e+02,5.838e+04
33.8,7.012e+04,3.636e+01,2.573e+02,7.041e+04
35.4,8.267e+04,4.308e+01,1.469e+02,8.286e+04
36.9,9.427e+04,4.690e+01,1.249e+02,9.445e+04
38.4,1.147e+05,6.249e+01,2.258e+02,1.150e+05
40.0,1.443e+05,8.369e+01,6.375e+02,1.450e+05
41.5,1.791e+05,1.858e+02,1.495e+03,1.808e+05
43.1,2.490e+05,6.675e+02,2.540e+03,2.522e+05
44.6,3.818e+05,2.394e+03,3.524e+03,3.877e+05
46.1,5.882e+05,4.815e+03,6.283e+03,5.993e+05
47.7,8.919e+05,3.701e+03,7.748e+03,9.033e+05
49.2,1.203e+06,1.361e+03,3.870e+03,1.208e+06
50.7,1.232e+06,1.775e+03,1.006e+03,1.235e+06
