freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.264e+01,3.848e+03,1.409e+01,3.874e+03
1.5,2.907e+01,2.414e+04,2.742e+01,2.420e+04
3.1,1.411e+01,7.840e+03,2.293e+01,7.877e+03
4.6,1.158e+01,2.804e+03,2.218e+01,2.838e+03
6.1,1.086e+01,1.576e+03,2.228e+01,1.610e+03
7.7,1.024e+01,1.054e+03,2.126e+01,1.086e+03
9.2,1.166e+01,8.210e+02,2.102e+01,8.537e+02
10.7,1.278e+01,5.945e+02,2.170e+01,6.289e+02
12.3,1.170e+01,6.387e+02,2.258e+01,6.729e+02
13.8,1.090e+01,6.084e+02,2.292e+01,6.422e+02
15.3,1.171e+01,6.909e+02,2.187e+01,7.244e+02
16.9,1.122e+01,8.075e+02,2.236e+01,8.410e+02
18.4,1.591e+01,3.627e+03,2.307e+01,3.666e+03
19.9,1.387e+02,3.829e+04,3.005e+01,3.846e+04
21.5,4.371e+02,6.465e+04,4.070e+01,6.513e+04
23.0,3.834e+02,3.647e+04,4.529e+01,3.690e+04
24.5,9.662e+01,1.824e+04,4.189e+01,1.838e+04
26.1,2.020e+01,1.636e+04,4.219e+01,1.642e+04
27.6,1.469e+01,2.591e+04,4.895e+01,2.598e+04
29.1,1.611e+01,4.359e+04,6.071e+01,4.367e+04
30.7,2.056e+01,6.938e+04,8.215e+01,6.948e+04
32.2,3.302e+01,1.139e+05,1.263e+02,1.141e+05
33.7,7.333e+01,1.950e+05,2.171e+02,1.953e+05
35.3,2.987e+02,4.039e+05,4.496e+02,4.046e+05
36.8,1.600e+03,1.069e+06,1.005e+03,1.072e+06
38.3,4.433e+03,1.889e+06,1.598e+03,1.895e+06
39.9,5.674e+03,2.072e+06,4.268e+03,2.082e+06
41.4,5.797e+03,1.762e+06,1.018e+04,1.778e+06
42.9,5.276e+03,1.225e+06,1.214e+04,1.242e+06
44.5,4.534e+03,8.060e+05,9.244e+03,8.198e+05
46.0,5.017e+03,5.722e+05,4.800e+03,5.820e+05
47.5,7.452e+03,4.569e+05,2.274e+03,4.666e+05
49.0,1.144e+04,3.395e+05,1.149e+03,3.520e+05
50.6,1.450e+04,2.517e+05,1.201e+03,2.674e+05
52.1,1.193e+04,1.951e+05,2.031e+03,2.090e+05
53.6,6.143e+03,1.456e+05,2.548e+03,1.543e+05
55.2,3.215e+03,1.142e+05,3.188e+03,1.206e+05
56.7,2.623e+03,8.519e+04,3.889e+03,9.170e+04
58.2,2.977e+03,6.537e+04,6.783e+03,7.513e+04
59.8,5.151e+03,5.518e+04,1.301e+04,7.334e+04
61.3,1.436e+04,5.957e+04,2.807e+04,1.020e+05
62.8,3.445e+04,7.511e+04,5.643e+04,1.660e+05
64.4,5.430e+04,8.611e+04,8.337e+04,2.238e+05
65.9,3.590e+04,1.021e+05,8.714e+04,2.251e+05
67.4,2.231e+04,1.136e+05,5.189e+04,1.878e+05
69.0,1.927e+04,9.691e+04,2.961e+04,1.458e+05
70.5,1.484e+04,8.287e+04,1.784e+04,1.155e+05
72.0,9.517e+03,6.721e+04,1.174e+04,8.847e+04
73.6,4.702e+03,5.605e+04,1.045e+04,7.120e+04
75.1,4.105e+03,5.396e+04,1.092e+04,6.899e+04
76.6,6.190e+03,5.365e+04,1.104e+04,7.088e+04
78.2,8.231e+03,4.839e+04,1.100e+04,6.762e+04
79.7,1.021e+04,3.886e+04,1.033e+04,5.940e+04
81.2,1.253e+04,3.402e+04,1.057e+04,5.711e+04
82.8,1.170e+04,3.022e+04,1.032e+04,5.224e+04
84.3,8.527e+03,2.863e+04,8.440e+03,4.560e+04
85.8,5.340e+03,2.682e+04,6.523e+03,3.868e+04
87.4,3.119e+03,2.336e+04,5.250e+03,3.173e+04
88.9,1.615e+03,1.743e+04,4.240e+03,2.329e+04
90.4,9.769e+02,1.424e+04,3.354e+03,1.857e+04
92.0,6.169e+02,1.398e+04,2.639e+03,1.724e+04
93.5,4.369e+02,1.476e+04,2.384e+03,1.758e+04
95.0,3.032e+02,1.490e+04,2.489e+03,1.769e+04
96.6,2.266e+02,1.517e+04,2.773e+03,1.817e+04
98.1,2.039e+02,1.511e+04,3.085e+03,1.840e+04
99.6,1.950e+02,1.448e+04,2.738e+03,1.742e+04
101.2,1.839e+02,1.435e+04,2.020e+03,1.656e+04
102.7,1.793e+02,1.466e+04,1.297e+03,1.613e+04
104.2,1.661e+02,1.493e+04,7.362e+02,1.583e+04
105.8,1.494e+02,1.520e+04,4.240e+02,1.577e+04
107.3,1.280e+02,1.454e+04,2.800e+02,1.494e+04
108.8,9.941e+01,1.194e+04,2.149e+02,1.225e+04
110.4,6.319e+01,7.928e+03,1.718e+02,8.163e+03
111.9,4.915e+01,6.070e+03,2.087e+02,6.328e+03
113.4,4.409e+01,5.523e+03,2.610e+02,5.828e+03
115.0,4.154e+01,5.317e+03,3.541e+02,5.712e+03
116.5,4.555e+01,5.013e+03,5.519e+02,5.610e+03
118.0,5.362e+01,4.613e+03,4.229e+02,5.090e+03
119.6,6.518e+01,2.743e+03,2.698e+02,3.078e+03
121.1,7.417e+01,7.509e+02,2.927e+02,1.118e+03
122.6,9.202e+01,5.662e+02,2.185e+02,8.767e+02
124.2,1.255e+02,6.042e+02,2.715e+02,1.001e+03
125.7,1.752e+02,6.288e+02,4.127e+02,1.217e+03
127.2,2.246e+02,7.464e+02,7.014e+02,1.672e+03
128.8,2.142e+02,7.489e+02,8.595e+02,1.823e+03
130.3,2.251e+02,4.642e+02,1.178e+03,1.867e+03
131.8,2.632e+02,3.103e+02,1.177e+03,1.750e+03
133.4,1.844e+02,2.781e+02,8.294e+02,1.292e+03
134.9,1.442e+02,2.064e+02,6.486e+02,9.993e+02
136.4,7.995e+01,3.090e+02,7.592e+02,1.148e+03
138.0,5.952e+01,3.435e+02,4.073e+02,8.104e+02
139.5,5.167e+01,2.596e+02,3.122e+02,6.234e+02
141.0,6.172e+01,2.281e+02,3.254e+02,6.152e+02
142.6,6.286e+01,2.332e+02,2.109e+02,5.070e+02
144.1,5.181e+01,2.567e+02,1.216e+02,4.301e+02
145.6,5.066e+01,2.216e+02,9.927e+01,3.715e+02
147.1,4.063e+01,2.039e+02,8.920e+01,3.337e+02
148.7,5.505e+01,2.084e+02,9.706e+01,3.605e+02
150.2,6.250e+01,2.070e+02,1.076e+02,3.771e+02
151.7,7.345e+01,1.831e+02,1.361e+02,3.926e+02
153.3,8.741e+01,1.280e+02,1.682e+02,3.835e+02
154.8,1.094e+02,1.201e+02,2.305e+02,4.600e+02
156.3,2.235e+02,1.356e+02,3.389e+02,6.980e+02
157.9,3.314e+02,1.757e+02,4.376e+02,9.447e+02
159.4,4.383e+02,1.981e+02,7.095e+02,1.346e+03
160.9,4.993e+02,1.676e+02,1.111e+03,1.778e+03
162.5,5.596e+02,1.503e+02,1.510e+03,2.220e+03
