freq,psd_x,psd_y,psd_z,psd_xyz,zv(43.4),mzv(43.2),ei(52.0),2hump_ei(64.4),3hump_ei(77.2)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,3.004e-15,2.426e-12,6.058e-15,2.435e-12,0.994,0.991,0.990,0.988,0.986
3.1,6.821e-04,3.331e-01,1.088e-03,3.348e-01,0.984,0.978,0.975,0.971,0.967
4.6,7.851e-02,1.810e+01,1.493e-01,1.833e+01,0.972,0.961,0.957,0.949,0.944
6.1,3.869e-01,5.380e+01,7.776e-01,5.497e+01,0.957,0.941,0.934,0.924,0.917
7.7,7.300e-01,6.773e+01,1.551e+00,7.001e+01,0.939,0.917,0.908,0.895,0.886
9.2,1.000e+00,7.054e+01,1.949e+00,7.349e+01,0.919,0.889,0.878,0.862,0.851
10.8,1.072e+00,4.567e+01,1.935e+00,4.868e+01,0.896,0.859,0.846,0.826,0.812
12.3,9.539e-01,4.061e+01,1.822e+00,4.339e+01,0.870,0.826,0.810,0.787,0.772
13.8,8.795e-01,3.151e+01,1.548e+00,3.394e+01,0.842,0.790,0.772,0.746,0.728
15.4,8.750e-01,3.236e+01,1.486e+00,3.472e+01,0.811,0.752,0.731,0.703,0.683
16.9,7.663e-01,3.045e+01,1.444e+00,3.266e+01,0.778,0.712,0.689,0.658,0.637
18.4,1.254e+00,1.179e+02,1.506e+00,1.207e+02,0.744,0.670,0.645,0.612,0.590
20.0,9.287e+00,1.197e+03,3.166e+00,1.209e+03,0.707,0.627,0.600,0.566,0.542
21.5,3.008e+01,2.616e+03,5.148e+00,2.651e+03,0.668,0.583,0.554,0.519,0.494
23.1,7.432e+01,2.690e+03,4.935e+00,2.769e+03,0.628,0.537,0.508,0.472,0.447
24.6,1.302e+02,2.141e+03,3.370e+00,2.274e+03,0.586,0.491,0.462,0.426,0.401
26.1,1.517e+02,1.798e+03,2.027e+00,1.952e+03,0.543,0.445,0.416,0.380,0.356
27.7,1.091e+02,1.502e+03,1.500e+00,1.612e+03,0.498,0.399,0.370,0.336,0.312
29.2,6.200e+01,1.398e+03,1.694e+00,1.462e+03,0.452,0.353,0.326,0.294,0.271
30.7,3.510e+01,1.663e+03,2.762e+00,1.701e+03,0.405,0.308,0.283,0.254,0.232
32.3,1.979e+01,2.356e+03,5.093e+00,2.381e+03,0.358,0.264,0.242,0.215,0.196
33.8,1.233e+01,3.505e+03,8.787e+00,3.526e+03,0.310,0.222,0.203,0.180,0.163
35.3,1.151e+01,5.362e+03,1.575e+01,5.390e+03,0.261,0.181,0.166,0.147,0.133
36.9,3.936e+01,9.175e+03,2.804e+01,9.242e+03,0.212,0.141,0.132,0.117,0.106
38.4,1.212e+02,1.610e+04,6.346e+01,1.628e+04,0.164,0.104,0.101,0.091,0.083
40.0,2.228e+02,2.925e+04,3.276e+02,2.980e+04,0.116,0.070,0.073,0.068,0.064
41.5,3.107e+02,4.171e+04,7.392e+02,4.276e+04,0.082,0.046,0.049,0.049,0.050
43.0,2.948e+02,3.946e+04,7.616e+02,4.052e+04,0.063,0.035,0.031,0.035,0.041
44.6,2.185e+02,3.106e+04,5.426e+02,3.182e+04,0.071,0.039,0.020,0.028,0.037
46.1,1.480e+02,2.270e+04,3.204e+02,2.316e+04,0.098,0.053,0.022,0.028,0.037
47.6,1.315e+02,1.609e+04,2.442e+02,1.646e+04,0.138,0.073,0.030,0.031,0.038
49.2,1.395e+02,1.117e+04,2.268e+02,1.154e+04,0.184,0.091,0.036,0.035,0.040
50.7,9.857e+01,7.581e+03,2.205e+02,7.900e+03,0.229,0.106,0.039,0.037,0.040
52.3,3.509e+01,5.357e+03,2.441e+02,5.636e+03,0.273,0.118,0.040,0.038,0.039
53.8,1.161e+01,3.839e+03,2.969e+02,4.148e+03,0.317,0.126,0.037,0.038,0.037
55.3,1.642e+01,2.997e+03,3.935e+02,3.407e+03,0.359,0.131,0.032,0.035,0.034
56.9,2.895e+01,2.415e+03,4.808e+02,2.925e+03,0.399,0.133,0.029,0.032,0.030
58.4,3.765e+01,2.007e+03,6.644e+02,2.709e+03,0.439,0.132,0.028,0.027,0.026
59.9,4.449e+01,2.164e+03,1.211e+03,3.419e+03,0.476,0.128,0.031,0.021,0.021
61.5,4.010e+01,2.375e+03,1.791e+03,4.206e+03,0.512,0.120,0.038,0.015,0.016
63.0,2.857e+01,2.260e+03,2.363e+03,4.652e+03,0.545,0.110,0.050,0.012,0.013
64.5,3.761e+01,2.106e+03,2.917e+03,5.061e+03,0.577,0.098,0.071,0.011,0.012
66.1,7.304e+01,2.037e+03,2.176e+03,4.285e+03,0.607,0.092,0.096,0.012,0.013
67.6,1.268e+02,2.129e+03,1.475e+03,3.731e+03,0.634,0.086,0.122,0.016,0.017
69.2,1.783e+02,1.826e+03,6.105e+02,2.615e+03,0.660,0.082,0.151,0.021,0.020
70.7,1.002e+02,1.469e+03,2.436e+02,1.813e+03,0.683,0.080,0.180,0.026,0.024
