freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.347e+02,6.433e+00,1.478e+01,3.559e+02
1.5,2.007e+02,2.280e+01,2.467e+01,2.482e+02
3.1,2.278e+01,2.740e+01,2.171e+01,7.190e+01
4.6,2.702e+02,2.877e+01,2.096e+01,3.199e+02
6.1,1.034e+03,2.853e+01,2.198e+01,1.084e+03
7.6,1.789e+03,2.981e+01,2.247e+01,1.841e+03
9.2,2.619e+03,2.649e+01,2.089e+01,2.666e+03
10.7,3.533e+03,2.919e+01,2.132e+01,3.584e+03
12.2,4.671e+03,3.247e+01,2.281e+01,4.726e+03
13.8,6.111e+03,3.410e+01,2.197e+01,6.167e+03
15.3,7.945e+03,3.876e+01,2.434e+01,8.008e+03
16.8,1.047e+04,3.349e+01,2.390e+01,1.052e+04
18.3,1.525e+04,4.359e+01,2.508e+01,1.532e+04
19.9,2.129e+04,2.242e+02,3.565e+01,2.155e+04
21.4,1.632e+04,4.557e+02,4.287e+01,1.681e+04
22.9,9.326e+03,3.514e+02,3.645e+01,9.714e+03
24.4,1.056e+04,1.257e+02,2.784e+01,1.072e+04
26.0,1.475e+04,3.292e+01,2.469e+01,1.481e+04
27.5,1.969e+04,2.606e+01,3.004e+01,1.975e+04
29.0,2.466e+04,2.302e+01,3.584e+01,2.472e+04
30.6,3.165e+04,2.345e+01,4.600e+01,3.172e+04
32.1,4.011e+04,3.609e+01,6.880e+01,4.021e+04
33.6,4.856e+04,4.086e+01,1.150e+02,4.872e+04
35.1,6.261e+04,4.399e+01,2.052e+02,6.286e+04
36.7,8.751e+04,7.675e+01,3.436e+02,8.793e+04
38.2,9.136e+04,2.702e+02,7.902e+02,9.242e+04
39.7,7.321e+04,6.676e+02,2.443e+03,7.632e+04
41.3,8.182e+04,1.458e+03,7.468e+03,9.074e+04
42.8,1.121e+05,3.825e+03,2.330e+04,1.393e+05
44.3,1.537e+05,5.287e+03,3.602e+04,1.950e+05
45.8,2.090e+05,4.466e+03,2.910e+04,2.426e+05
47.4,2.373e+05,4.455e+03,2.700e+04,2.687e+05
48.9,2.725e+05,3.763e+03,2.637e+04,3.026e+05
50.4,3.837e+05,2.762e+03,2.516e+04,4.117e+05
52.0,5.757e+05,1.771e+03,2.351e+04,6.010e+05
53.5,8.810e+05,1.473e+03,2.704e+04,9.095e+05
55.0,1.224e+06,1.087e+03,3.007e+04,1.255e+06
56.5,1.355e+06,4.593e+02,2.339e+04,1.379e+06
58.1,1.227e+06,2.701e+02,1.250e+04,1.239e+06
59.6,9.700e+05,9.509e+02,6.059e+03,9.770e+05
61.1,7.314e+05,2.079e+03,5.293e+03,7.387e+05
62.6,5.641e+05,2.231e+03,7.718e+03,5.740e+05
64.2,4.397e+05,1.731e+03,7.244e+03,4.487e+05
65.7,3.171e+05,1.761e+03,5.637e+03,3.245e+05
67.2,2.195e+05,1.158e+03,2.879e+03,2.235e+05
68.8,1.275e+05,5.002e+02,9.533e+02,1.290e+05
70.3,1.235e+05,5.104e+02,2.536e+03,1.266e+05
71.8,2.319e+05,9.620e+02,5.946e+03,2.388e+05
73.3,2.344e+05,6.502e+02,5.604e+03,2.407e+05
74.9,1.946e+05,3.450e+02,4.194e+03,1.992e+05
76.4,1.909e+05,2.341e+02,3.752e+03,1.949e+05
77.9,1.865e+05,1.905e+02,3.319e+03,1.900e+05
79.5,1.520e+05,1.780e+02,2.341e+03,1.545e+05
81.0,1.196e+05,1.847e+02,1.549e+03,1.213e+05
82.5,9.743e+04,2.061e+02,1.038e+03,9.867e+04
84.0,8.199e+04,2.627e+02,7.117e+02,8.296e+04
85.6,7.034e+04,3.442e+02,5.019e+02,7.118e+04
87.1,6.103e+04,4.111e+02,3.687e+02,6.181e+04
88.6,5.325e+04,4.401e+02,2.694e+02,5.396e+04
90.2,4.731e+04,4.707e+02,2.159e+02,4.800e+04
91.7,4.252e+04,5.331e+02,1.891e+02,4.325e+04
93.2,3.868e+04,5.815e+02,2.064e+02,3.947e+04
94.7,3.578e+04,5.043e+02,2.449e+02,3.653e+04
96.3,3.330e+04,3.718e+02,2.584e+02,3.393e+04
97.8,3.084e+04,2.555e+02,2.574e+02,3.135e+04
99.3,2.866e+04,1.844e+02,2.559e+02,2.910e+04
100.8,2.709e+04,1.598e+02,2.618e+02,2.751e+04
102.4,2.575e+04,1.499e+02,2.850e+02,2.618e+04
103.9,2.430e+04,1.783e+02,2.819e+02,2.476e+04
105.4,2.345e+04,2.953e+02,1.538e+02,2.390e+04
107.0,2.282e+04,4.029e+02,6.919e+01,2.329e+04
108.5,2.234e+04,4.404e+02,6.900e+01,2.285e+04
110.0,2.254e+04,4.469e+02,7.713e+01,2.306e+04
111.5,2.251e+04,4.596e+02,7.957e+01,2.305e+04
113.1,2.184e+04,5.389e+02,8.083e+01,2.246e+04
114.6,2.045e+04,6.895e+02,7.741e+01,2.122e+04
116.1,1.847e+04,8.948e+02,6.553e+01,1.943e+04
117.7,1.629e+04,1.115e+03,6.171e+01,1.747e+04
119.2,1.443e+04,1.372e+03,6.580e+01,1.586e+04
120.7,1.237e+04,1.541e+03,6.105e+01,1.397e+04
122.2,1.128e+04,1.777e+03,5.607e+01,1.311e+04
123.8,1.255e+04,2.366e+03,5.405e+01,1.497e+04
125.3,1.423e+04,3.301e+03,5.423e+01,1.758e+04
126.8,1.440e+04,4.304e+03,4.996e+01,1.876e+04
128.4,1.451e+04,5.617e+03,4.593e+01,2.018e+04
129.9,1.518e+04,6.843e+03,4.410e+01,2.207e+04
131.4,1.585e+04,7.813e+03,4.605e+01,2.371e+04
132.9,1.582e+04,9.290e+03,5.869e+01,2.517e+04
134.5,1.535e+04,1.116e+04,1.141e+02,2.662e+04
136.0,1.506e+04,1.198e+04,1.941e+02,2.724e+04
137.5,1.491e+04,1.184e+04,2.796e+02,2.703e+04
139.1,1.504e+04,1.188e+04,3.514e+02,2.728e+04
140.6,1.556e+04,1.207e+04,3.894e+02,2.802e+04
142.1,1.626e+04,1.365e+04,4.888e+02,3.040e+04
143.6,1.712e+04,1.773e+04,6.443e+02,3.550e+04
145.2,1.755e+04,2.226e+04,7.530e+02,4.056e+04
146.7,1.758e+04,2.762e+04,8.585e+02,4.605e+04
148.2,1.783e+04,2.935e+04,8.769e+02,4.806e+04
149.7,1.060e+04,1.598e+04,4.963e+02,2.709e+04
151.3,1.530e+03,2.091e+03,1.086e+02,3.729e+03
152.8,6.807e+02,6.742e+02,7.006e+01,1.425e+03
154.3,8.329e+02,4.585e+02,5.699e+01,1.348e+03
155.9,1.017e+03,3.119e+02,4.809e+01,1.378e+03
157.4,1.135e+03,2.334e+02,4.530e+01,1.413e+03
158.9,1.086e+03,2.471e+02,6.029e+01,1.393e+03
160.4,8.844e+02,3.147e+02,9.207e+01,1.291e+03
162.0,5.223e+02,5.884e+02,1.194e+02,1.230e+03
163.5,2.853e+02,1.063e+03,1.295e+02,1.477e+03
165.0,1.821e+02,1.407e+03,1.092e+02,1.698e+03
166.6,1.868e+02,1.642e+03,8.900e+01,1.918e+03
168.1,2.964e+02,1.626e+03,8.341e+01,2.005e+03
169.6,4.793e+02,1.419e+03,7.610e+01,1.974e+03
171.1,6.814e+02,1.203e+03,6.633e+01,1.950e+03
172.7,9.717e+02,1.007e+03,6.173e+01,2.041e+03
174.2,1.265e+03,7.481e+02,5.451e+01,2.068e+03
175.7,1.479e+03,5.048e+02,4.703e+01,2.031e+03
177.3,1.615e+03,2.848e+02,5.325e+01,1.953e+03
178.8,1.550e+03,1.015e+02,8.356e+01,1.735e+03
180.3,1.331e+03,4.508e+01,1.323e+02,1.508e+03
181.8,1.110e+03,3.866e+01,1.695e+02,1.318e+03
183.4,9.150e+02,3.820e+01,1.864e+02,1.140e+03
184.9,7.455e+02,5.204e+01,1.874e+02,9.849e+02
186.4,6.303e+02,8.862e+01,1.941e+02,9.130e+02
187.9,6.625e+02,1.262e+02,2.216e+02,1.010e+03
189.5,8.517e+02,1.516e+02,2.183e+02,1.222e+03
191.0,8.583e+02,8.611e+01,1.555e+02,1.100e+03
192.5,6.092e+02,5.329e+01,8.735e+01,7.498e+02
194.1,4.202e+02,5.556e+01,6.291e+01,5.386e+02
195.6,3.978e+02,5.058e+01,6.725e+01,5.156e+02
197.1,4.153e+02,4.956e+01,7.196e+01,5.368e+02
198.6,4.641e+02,5.174e+01,7.077e+01,5.866e+02
200.2,5.267e+02,5.447e+01,7.022e+01,6.514e+02
201.7,5.160e+02,5.843e+01,6.506e+01,6.395e+02
203.2,4.225e+02,5.664e+01,5.578e+01,5.349e+02
204.8,5.583e+02,6.227e+01,5.472e+01,6.753e+02
206.3,1.160e+03,1.033e+02,8.238e+01,1.346e+03
207.8,1.531e+03,1.672e+02,1.158e+02,1.814e+03
209.3,1.719e+03,2.444e+02,1.687e+02,2.133e+03
210.9,1.893e+03,3.203e+02,1.974e+02,2.410e+03
212.4,3.192e+03,4.804e+02,3.237e+02,3.996e+03
213.9,5.272e+03,6.092e+02,5.584e+02,6.439e+03
215.5,6.452e+03,5.565e+02,7.722e+02,7.780e+03
217.0,7.351e+03,4.461e+02,9.704e+02,8.768e+03
218.5,7.879e+03,3.261e+02,1.141e+03,9.345e+03
220.0,7.445e+03,2.278e+02,1.271e+03,8.943e+03
221.6,7.351e+03,1.917e+02,1.538e+03,9.081e+03
223.1,7.078e+03,1.962e+02,2.010e+03,9.284e+03
224.6,6.413e+03,2.440e+02,2.495e+03,9.151e+03
