freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.141e+00,1.738e+02,8.932e+00,1.859e+02
1.5,8.953e+00,1.055e+02,2.278e+01,1.372e+02
3.1,1.017e+01,1.934e+01,2.291e+01,5.242e+01
4.6,1.055e+01,2.574e+02,2.179e+01,2.897e+02
6.1,9.878e+00,9.706e+02,2.399e+01,1.005e+03
7.6,9.848e+00,1.622e+03,2.206e+01,1.654e+03
9.2,9.892e+00,2.369e+03,2.054e+01,2.399e+03
10.7,1.015e+01,3.350e+03,2.098e+01,3.382e+03
12.2,1.012e+01,4.683e+03,2.093e+01,4.714e+03
13.7,1.016e+01,6.404e+03,2.210e+01,6.436e+03
15.3,1.067e+01,8.745e+03,2.156e+01,8.777e+03
16.8,1.035e+01,1.257e+04,2.189e+01,1.261e+04
18.3,5.458e+01,1.912e+04,2.821e+01,1.921e+04
19.8,3.094e+02,2.247e+04,3.728e+01,2.281e+04
21.4,2.649e+02,1.304e+04,2.955e+01,1.334e+04
22.9,8.070e+01,6.912e+03,2.325e+01,7.016e+03
24.4,2.768e+01,7.108e+03,2.286e+01,7.158e+03
26.0,1.432e+01,1.032e+04,2.321e+01,1.036e+04
27.5,1.110e+01,1.534e+04,2.171e+01,1.538e+04
29.0,1.004e+01,2.146e+04,2.378e+01,2.150e+04
30.5,1.175e+01,2.989e+04,2.911e+01,2.993e+04
32.1,1.348e+01,4.148e+04,3.727e+01,4.153e+04
33.6,1.413e+01,5.657e+04,4.183e+01,5.662e+04
35.1,1.305e+01,8.712e+04,7.394e+01,8.721e+04
36.6,1.529e+01,1.570e+05,3.803e+02,1.574e+05
38.2,3.823e+01,2.326e+05,1.801e+03,2.344e+05
39.7,9.267e+01,2.048e+05,4.049e+03,2.089e+05
41.2,1.746e+02,1.102e+05,4.613e+03,1.150e+05
42.7,3.355e+02,6.733e+04,4.046e+03,7.172e+04
44.3,6.490e+02,8.472e+04,2.867e+03,8.823e+04
45.8,1.668e+03,1.968e+05,2.206e+03,2.007e+05
47.3,2.536e+03,4.554e+05,2.503e+03,4.605e+05
48.9,1.700e+03,5.860e+05,1.982e+03,5.897e+05
50.4,7.646e+02,4.671e+05,8.310e+02,4.687e+05
51.9,3.615e+02,3.360e+05,7.727e+02,3.372e+05
53.4,3.024e+02,2.200e+05,9.293e+02,2.213e+05
55.0,2.468e+02,1.368e+05,1.241e+03,1.383e+05
56.5,2.219e+02,8.195e+04,1.715e+03,8.389e+04
58.0,1.707e+02,4.612e+04,2.463e+03,4.875e+04
59.5,1.899e+02,2.796e+04,4.313e+03,3.246e+04
61.1,6.200e+02,3.022e+04,7.651e+03,3.850e+04
62.6,2.237e+03,5.641e+04,1.081e+04,6.946e+04
64.1,7.010e+03,7.615e+04,1.726e+04,1.004e+05
65.6,1.537e+04,7.675e+04,2.621e+04,1.183e+05
67.2,1.862e+04,7.829e+04,2.325e+04,1.202e+05
68.7,1.456e+04,7.185e+04,1.289e+04,9.930e+04
70.2,6.836e+03,5.923e+04,5.332e+03,7.140e+04
71.8,2.447e+03,5.241e+04,1.605e+03,5.647e+04
73.3,1.152e+03,4.160e+04,6.122e+02,4.336e+04
74.8,7.428e+02,2.591e+04,5.655e+02,2.722e+04
76.3,6.449e+02,1.746e+04,9.260e+02,1.903e+04
77.9,5.463e+02,1.237e+04,1.284e+03,1.420e+04
79.4,4.504e+02,8.682e+03,1.675e+03,1.081e+04
80.9,4.421e+02,6.289e+03,2.768e+03,9.500e+03
82.4,6.101e+02,5.108e+03,7.522e+03,1.324e+04
84.0,6.103e+02,2.596e+03,1.349e+04,1.669e+04
85.5,3.413e+02,2.220e+03,9.774e+03,1.234e+04
87.0,2.597e+02,6.050e+03,4.861e+03,1.117e+04
88.5,1.553e+02,9.189e+03,4.460e+03,1.380e+04
90.1,6.773e+01,1.073e+04,5.693e+03,1.649e+04
91.6,3.230e+01,1.239e+04,7.194e+03,1.962e+04
93.1,2.920e+01,1.534e+04,1.092e+04,2.629e+04
94.7,4.152e+01,1.807e+04,1.732e+04,3.543e+04
96.2,6.624e+01,1.785e+04,2.382e+04,4.174e+04
97.7,1.139e+02,1.539e+04,2.921e+04,4.471e+04
99.2,1.486e+02,1.275e+04,3.130e+04,4.420e+04
100.8,1.183e+02,1.058e+04,2.469e+04,3.539e+04
102.3,6.983e+01,9.412e+03,1.530e+04,2.479e+04
103.8,4.145e+01,8.548e+03,8.659e+03,1.725e+04
105.3,3.823e+01,8.536e+03,5.088e+03,1.366e+04
106.9,5.775e+01,7.616e+03,2.939e+03,1.061e+04
108.4,9.172e+01,6.012e+03,2.364e+03,8.468e+03
109.9,8.572e+01,4.670e+03,2.248e+03,7.003e+03
111.4,5.322e+01,3.746e+03,1.792e+03,5.591e+03
113.0,3.359e+01,3.045e+03,1.232e+03,4.311e+03
114.5,2.418e+01,2.421e+03,7.959e+02,3.241e+03
116.0,1.705e+01,1.931e+03,5.171e+02,2.465e+03
117.5,1.403e+01,1.878e+03,3.472e+02,2.239e+03
119.1,1.231e+01,2.275e+03,2.521e+02,2.540e+03
120.6,1.110e+01,2.233e+03,1.836e+02,2.428e+03
122.1,1.219e+01,1.907e+03,1.402e+02,2.059e+03
123.7,1.697e+01,1.811e+03,1.291e+02,1.958e+03
125.2,2.361e+01,1.686e+03,1.255e+02,1.835e+03
126.7,3.965e+01,1.526e+03,1.242e+02,1.690e+03
128.2,6.452e+01,1.397e+03,1.390e+02,1.600e+03
129.8,8.753e+01,1.325e+03,1.915e+02,1.604e+03
131.3,9.719e+01,1.281e+03,2.447e+02,1.623e+03
132.8,9.747e+01,1.264e+03,3.057e+02,1.667e+03
134.3,9.596e+01,1.354e+03,4.987e+02,1.949e+03
135.9,8.048e+01,1.442e+03,5.146e+02,2.037e+03
137.4,6.129e+01,1.446e+03,3.973e+02,1.905e+03
138.9,4.378e+01,1.431e+03,3.749e+02,1.849e+03
140.4,3.543e+01,1.375e+03,3.467e+02,1.757e+03
142.0,3.567e+01,1.325e+03,2.952e+02,1.656e+03
143.5,3.570e+01,1.314e+03,2.419e+02,1.592e+03
145.0,3.851e+01,1.309e+03,1.983e+02,1.546e+03
146.6,4.587e+01,1.249e+03,1.455e+02,1.441e+03
148.1,5.403e+01,1.111e+03,1.091e+02,1.274e+03
149.6,4.615e+01,6.141e+02,7.811e+01,7.384e+02
151.1,3.860e+01,1.549e+02,5.239e+01,2.459e+02
152.7,6.413e+01,1.168e+02,5.579e+01,2.367e+02
154.2,9.466e+01,1.148e+02,5.978e+01,2.692e+02
155.7,1.034e+02,1.063e+02,7.313e+01,2.828e+02
157.2,1.326e+02,8.455e+01,9.803e+01,3.152e+02
158.8,2.040e+02,7.652e+01,1.427e+02,4.232e+02
160.3,2.669e+02,7.877e+01,1.920e+02,5.377e+02
161.8,2.576e+02,9.432e+01,2.160e+02,5.679e+02
163.3,2.036e+02,1.118e+02,2.175e+02,5.329e+02
164.9,1.823e+02,1.362e+02,2.817e+02,6.002e+02
166.4,2.283e+02,1.675e+02,4.650e+02,8.608e+02
167.9,2.986e+02,1.797e+02,5.656e+02,1.044e+03
169.5,3.437e+02,1.799e+02,5.447e+02,1.068e+03
171.0,3.324e+02,1.700e+02,4.820e+02,9.845e+02
172.5,2.919e+02,1.433e+02,3.897e+02,8.249e+02
174.0,3.146e+02,1.315e+02,3.429e+02,7.890e+02
175.6,2.626e+02,1.406e+02,2.465e+02,6.497e+02
177.1,1.700e+02,1.419e+02,1.400e+02,4.519e+02
178.6,9.547e+01,1.331e+02,7.066e+01,2.992e+02
180.1,5.509e+01,1.203e+02,4.845e+01,2.239e+02
181.7,4.208e+01,1.067e+02,4.240e+01,1.912e+02
183.2,3.761e+01,1.022e+02,4.062e+01,1.804e+02
184.7,3.522e+01,1.075e+02,4.367e+01,1.864e+02
186.2,4.424e+01,1.216e+02,4.158e+01,2.074e+02
187.8,4.840e+01,1.479e+02,4.097e+01,2.373e+02
189.3,5.108e+01,1.649e+02,3.926e+01,2.552e+02
190.8,6.629e+01,1.792e+02,4.068e+01,2.862e+02
192.4,7.898e+01,1.839e+02,4.883e+01,3.117e+02
193.9,9.089e+01,1.740e+02,6.476e+01,3.297e+02
195.4,9.722e+01,1.412e+02,9.139e+01,3.298e+02
196.9,9.127e+01,1.041e+02,1.187e+02,3.141e+02
198.5,8.556e+01,7.671e+01,1.396e+02,3.018e+02
200.0,6.263e+01,5.420e+01,1.481e+02,2.649e+02
201.5,3.923e+01,4.907e+01,1.277e+02,2.160e+02
203.0,2.876e+01,4.416e+01,1.004e+02,1.734e+02
204.6,1.987e+01,3.811e+01,7.199e+01,1.300e+02
206.1,1.405e+01,4.001e+01,6.058e+01,1.146e+02
207.6,1.146e+01,3.554e+01,4.493e+01,9.193e+01
209.1,1.111e+01,2.872e+01,3.871e+01,7.854e+01
210.7,1.124e+01,2.402e+01,3.596e+01,7.123e+01
212.2,1.163e+01,2.607e+01,3.262e+01,7.033e+01
213.7,1.102e+01,2.603e+01,3.051e+01,6.757e+01
215.3,1.249e+01,2.604e+01,3.478e+01,7.331e+01
216.8,1.138e+01,2.512e+01,3.651e+01,7.301e+01
218.3,1.128e+01,3.118e+01,4.174e+01,8.420e+01
219.8,1.293e+01,3.981e+01,4.727e+01,1.000e+02
221.4,1.454e+01,5.008e+01,5.528e+01,1.199e+02
222.9,1.398e+01,6.743e+01,7.766e+01,1.591e+02
224.4,1.292e+01,7.383e+01,8.896e+01,1.757e+02
