freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.399e+02,4.796e+00,1.412e+01,4.588e+02
1.5,2.534e+02,1.188e+01,2.125e+01,2.866e+02
3.1,1.144e+01,1.179e+01,1.951e+01,4.273e+01
4.6,1.151e+01,1.171e+01,2.028e+01,4.350e+01
6.1,1.224e+01,1.214e+01,1.997e+01,4.435e+01
7.7,1.213e+01,1.249e+01,2.008e+01,4.471e+01
9.2,1.182e+01,1.103e+01,1.792e+01,4.078e+01
10.8,1.197e+01,1.229e+01,1.885e+01,4.311e+01
12.3,1.177e+01,1.225e+01,1.950e+01,4.352e+01
13.8,1.266e+01,1.148e+01,1.968e+01,4.383e+01
15.4,1.286e+01,1.117e+01,1.946e+01,4.349e+01
16.9,1.295e+01,1.200e+01,1.802e+01,4.297e+01
18.4,8.401e+02,1.329e+01,1.888e+01,8.723e+02
20.0,1.540e+04,2.539e+01,2.022e+01,1.545e+04
21.5,3.626e+04,1.235e+02,2.219e+01,3.641e+04
23.1,2.607e+04,1.983e+02,2.396e+01,2.629e+04
24.6,1.674e+04,8.230e+01,2.582e+01,1.685e+04
26.1,2.019e+04,2.951e+01,2.666e+01,2.025e+04
27.7,2.723e+04,1.966e+01,2.790e+01,2.728e+04
29.2,3.490e+04,2.279e+01,3.527e+01,3.495e+04
30.7,4.617e+04,3.519e+01,4.529e+01,4.625e+04
32.3,5.937e+04,5.817e+01,6.525e+01,5.949e+04
33.8,7.232e+04,7.572e+01,9.820e+01,7.249e+04
35.3,9.539e+04,9.649e+01,1.568e+02,9.565e+04
36.9,1.282e+05,1.603e+02,2.529e+02,1.286e+05
38.4,1.276e+05,3.823e+02,4.368e+02,1.284e+05
40.0,9.769e+04,7.142e+02,7.388e+02,9.914e+04
41.5,1.005e+05,1.119e+03,1.702e+03,1.033e+05
43.0,1.437e+05,2.288e+03,5.708e+03,1.516e+05
44.6,2.285e+05,4.586e+03,1.596e+04,2.491e+05
46.1,3.797e+05,6.948e+03,2.993e+04,4.166e+05
