freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.057e+01,1.946e+02,1.637e+01,2.215e+02
1.5,1.443e+01,1.161e+02,2.467e+01,1.552e+02
3.1,1.007e+01,1.295e+01,1.952e+01,4.254e+01
4.6,1.069e+01,1.313e+01,1.955e+01,4.337e+01
6.1,1.138e+01,1.206e+01,1.964e+01,4.307e+01
7.7,1.280e+01,1.210e+01,2.031e+01,4.522e+01
9.2,1.214e+01,1.242e+01,2.183e+01,4.639e+01
10.8,1.133e+01,1.322e+01,2.163e+01,4.618e+01
12.3,1.097e+01,1.258e+01,2.028e+01,4.383e+01
13.8,1.144e+01,1.222e+01,2.107e+01,4.473e+01
15.4,1.194e+01,1.243e+01,2.192e+01,4.629e+01
16.9,9.701e+00,1.526e+01,2.338e+01,4.834e+01
18.4,1.115e+01,8.904e+02,2.367e+01,9.252e+02
20.0,5.782e+01,1.705e+04,6.800e+01,1.718e+04
21.5,3.183e+02,4.255e+04,1.930e+02,4.306e+04
23.0,3.474e+02,3.481e+04,2.089e+02,3.537e+04
24.6,9.594e+01,2.303e+04,1.108e+02,2.324e+04
26.1,4.763e+01,2.654e+04,6.482e+01,2.665e+04
27.6,9.036e+01,3.984e+04,7.456e+01,4.000e+04
29.2,1.958e+02,5.311e+04,1.287e+02,5.343e+04
30.7,2.115e+02,3.594e+04,1.176e+02,3.627e+04
32.3,1.853e+02,2.952e+04,5.101e+01,2.975e+04
33.8,1.846e+02,4.265e+04,2.911e+01,4.286e+04
35.3,2.814e+02,7.062e+04,3.534e+01,7.094e+04
36.9,6.933e+02,1.264e+05,8.656e+01,1.272e+05
38.4,2.103e+03,2.435e+05,2.513e+02,2.459e+05
39.9,4.362e+03,4.858e+05,8.103e+02,4.910e+05
41.5,6.332e+03,6.523e+05,3.624e+03,6.622e+05
43.0,1.081e+04,5.189e+05,9.266e+03,5.390e+05
44.5,1.956e+04,3.676e+05,1.357e+04,4.008e+05
46.1,2.775e+04,2.797e+05,1.500e+04,3.224e+05
47.6,3.267e+04,1.849e+05,1.319e+04,2.308e+05
49.2,3.358e+04,1.159e+05,1.112e+04,1.606e+05
50.7,2.357e+04,1.259e+05,1.179e+04,1.613e+05
52.2,1.219e+04,1.436e+05,1.057e+04,1.664e+05
53.8,4.534e+03,1.275e+05,8.793e+03,1.408e+05
55.3,1.770e+03,1.024e+05,8.990e+03,1.132e+05
56.8,8.678e+02,7.764e+04,1.046e+04,8.898e+04
58.4,7.349e+02,6.151e+04,1.406e+04,7.631e+04
59.9,1.874e+03,4.986e+04,1.913e+04,7.087e+04
61.4,5.180e+03,3.888e+04,2.487e+04,6.893e+04
63.0,1.033e+04,2.713e+04,2.965e+04,6.711e+04
64.5,1.841e+04,2.782e+04,3.889e+04,8.512e+04
66.0,2.899e+04,4.745e+04,3.964e+04,1.161e+05
67.6,3.464e+04,6.583e+04,3.215e+04,1.326e+05
69.1,3.008e+04,6.827e+04,2.882e+04,1.272e+05
70.7,1.664e+04,5.885e+04,2.212e+04,9.761e+04
72.2,8.163e+03,4.097e+04,1.815e+04,6.728e+04
73.7,4.367e+03,2.837e+04,1.202e+04,4.475e+04
75.3,2.711e+03,2.157e+04,6.595e+03,3.087e+04
76.8,1.850e+03,1.684e+04,3.851e+03,2.254e+04
78.3,1.499e+03,1.301e+04,3.184e+03,1.770e+04
79.9,1.403e+03,1.002e+04,4.104e+03,1.553e+04
81.4,1.510e+03,7.635e+03,6.567e+03,1.571e+04
82.9,1.876e+03,5.829e+03,1.118e+04,1.889e+04
84.5,2.570e+03,4.935e+03,2.133e+04,2.883e+04
86.0,3.112e+03,4.783e+03,3.668e+04,4.458e+04
87.5,2.835e+03,5.184e+03,4.801e+04,5.603e+04
89.1,2.057e+03,6.280e+03,4.994e+04,5.828e+04
90.6,1.673e+03,8.223e+03,4.889e+04,5.878e+04
92.2,1.790e+03,9.709e+03,4.397e+04,5.547e+04
93.7,1.818e+03,1.014e+04,3.697e+04,4.893e+04
95.2,1.474e+03,9.913e+03,3.093e+04,4.232e+04
96.8,1.004e+03,9.430e+03,2.581e+04,3.624e+04
98.3,6.850e+02,8.591e+03,2.021e+04,2.948e+04
99.8,5.187e+02,7.570e+03,1.374e+04,2.183e+04
101.4,4.329e+02,6.610e+03,8.074e+03,1.512e+04
102.9,3.734e+02,5.803e+03,4.643e+03,1.082e+04
104.4,3.414e+02,5.181e+03,2.998e+03,8.521e+03
106.0,3.373e+02,4.692e+03,2.170e+03,7.199e+03
107.5,3.540e+02,4.229e+03,1.710e+03,6.293e+03
109.1,3.899e+02,3.767e+03,1.422e+03,5.578e+03
110.6,4.399e+02,3.356e+03,1.249e+03,5.044e+03
112.1,5.344e+02,2.919e+03,1.125e+03,4.579e+03
113.7,6.589e+02,2.555e+03,1.079e+03,4.293e+03
115.2,8.083e+02,2.324e+03,1.123e+03,4.256e+03
116.7,7.418e+02,2.114e+03,1.202e+03,4.058e+03
118.3,4.255e+02,1.822e+03,1.155e+03,3.403e+03
119.8,1.397e+02,8.388e+02,5.619e+02,1.540e+03
121.3,3.413e+01,8.259e+01,1.058e+02,2.225e+02
122.9,2.801e+01,3.593e+01,8.839e+01,1.523e+02
124.4,2.687e+01,5.414e+01,1.118e+02,1.928e+02
125.9,2.551e+01,9.775e+01,1.103e+02,2.336e+02
127.5,2.772e+01,1.270e+02,1.117e+02,2.664e+02
129.0,3.429e+01,1.302e+02,1.720e+02,3.366e+02
130.6,4.646e+01,1.412e+02,3.084e+02,4.960e+02
132.1,4.829e+01,1.766e+02,5.448e+02,7.698e+02
133.6,5.517e+01,1.944e+02,4.969e+02,7.465e+02
135.2,7.561e+01,2.065e+02,2.294e+02,5.115e+02
136.7,5.879e+01,1.916e+02,1.274e+02,3.777e+02
138.2,3.370e+01,1.824e+02,6.154e+01,2.777e+02
139.8,2.357e+01,1.678e+02,7.911e+01,2.705e+02
141.3,2.017e+01,1.512e+02,1.027e+02,2.741e+02
142.8,2.027e+01,1.456e+02,1.057e+02,2.716e+02
144.4,2.220e+01,1.430e+02,9.101e+01,2.562e+02
145.9,2.593e+01,1.376e+02,5.995e+01,2.235e+02
147.5,2.779e+01,1.360e+02,5.252e+01,2.163e+02
149.0,2.765e+01,1.348e+02,5.910e+01,2.215e+02
150.5,3.265e+01,1.313e+02,5.862e+01,2.226e+02
152.1,4.672e+01,1.247e+02,5.261e+01,2.240e+02
153.6,7.042e+01,1.275e+02,5.921e+01,2.571e+02
155.1,1.118e+02,1.215e+02,6.348e+01,2.968e+02
156.7,1.777e+02,1.098e+02,6.165e+01,3.491e+02
158.2,3.685e+02,1.134e+02,6.350e+01,5.453e+02
159.7,7.511e+02,1.361e+02,7.811e+01,9.653e+02
161.3,8.514e+02,1.704e+02,9.058e+01,1.112e+03
162.8,5.756e+02,1.788e+02,8.061e+01,8.350e+02
164.3,3.890e+02,1.618e+02,6.727e+01,6.181e+02
165.9,2.893e+02,1.324e+02,6.292e+01,4.846e+02
167.4,2.207e+02,1.345e+02,6.552e+01,4.207e+02
169.0,1.745e+02,1.640e+02,8.934e+01,4.278e+02
170.5,1.068e+02,1.663e+02,1.295e+02,4.026e+02
172.0,8.474e+01,1.416e+02,1.950e+02,4.213e+02
173.6,9.319e+01,1.171e+02,2.463e+02,4.566e+02
175.1,7.816e+01,1.009e+02,2.744e+02,4.534e+02
176.6,7.663e+01,8.885e+01,2.692e+02,4.347e+02
178.2,1.640e+02,8.761e+01,2.415e+02,4.931e+02
179.7,2.066e+02,1.022e+02,2.165e+02,5.253e+02
