freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.554e+03,8.915e+01,3.574e+01,4.679e+03
1.5,2.467e+04,6.408e+01,3.908e+01,2.477e+04
3.1,7.748e+03,1.277e+01,2.461e+01,7.785e+03
4.6,2.704e+03,1.268e+01,2.294e+01,2.740e+03
6.1,1.447e+03,1.264e+01,2.056e+01,1.480e+03
7.7,9.065e+02,1.333e+01,2.150e+01,9.414e+02
9.2,7.274e+02,1.274e+01,2.099e+01,7.611e+02
10.7,4.942e+02,1.290e+01,2.024e+01,5.273e+02
12.3,3.920e+02,1.304e+01,2.087e+01,4.259e+02
13.8,2.940e+02,1.311e+01,2.345e+01,3.306e+02
15.3,2.596e+02,1.229e+01,2.354e+01,2.954e+02
16.9,2.502e+02,1.209e+01,2.618e+01,2.885e+02
18.4,1.216e+03,1.553e+01,2.805e+01,1.260e+03
19.9,1.369e+04,8.221e+01,2.586e+01,1.380e+04
21.5,3.357e+04,2.188e+02,3.491e+01,3.382e+04
23.0,4.336e+04,2.934e+02,4.457e+01,4.370e+04
24.5,5.610e+04,3.935e+02,6.950e+01,5.656e+04
26.1,6.175e+04,4.697e+02,1.482e+02,6.237e+04
27.6,5.403e+04,3.309e+02,1.977e+02,5.456e+04
29.1,4.512e+04,4.075e+02,1.462e+02,4.567e+04
30.7,4.339e+04,5.471e+02,1.288e+02,4.406e+04
32.2,5.335e+04,6.607e+02,1.727e+02,5.418e+04
33.7,6.866e+04,8.372e+02,3.170e+02,6.981e+04
35.2,8.840e+04,1.301e+03,4.976e+02,9.020e+04
36.8,1.195e+05,2.141e+03,4.592e+02,1.221e+05
38.3,1.514e+05,3.079e+03,4.406e+02,1.549e+05
39.8,1.986e+05,4.219e+03,6.505e+02,2.034e+05
41.4,2.294e+05,4.200e+03,2.012e+03,2.356e+05
42.9,2.777e+05,3.707e+03,9.782e+03,2.912e+05
44.4,3.896e+05,6.358e+03,2.596e+04,4.219e+05
46.0,5.426e+05,1.280e+04,3.323e+04,5.886e+05
47.5,9.099e+05,2.501e+04,3.059e+04,9.655e+05
49.0,1.501e+06,4.953e+04,3.857e+04,1.589e+06
50.6,2.792e+06,1.059e+05,5.375e+04,2.952e+06
52.1,4.076e+06,1.667e+05,6.254e+04,4.305e+06
53.6,4.055e+06,1.862e+05,6.007e+04,4.301e+06
55.2,3.430e+06,1.861e+05,5.595e+04,3.672e+06
56.7,2.525e+06,1.671e+05,4.857e+04,2.740e+06
58.2,1.755e+06,1.469e+05,4.274e+04,1.945e+06
59.8,1.241e+06,1.263e+05,4.164e+04,1.409e+06
61.3,9.068e+05,1.021e+05,4.099e+04,1.050e+06
62.8,6.855e+05,8.564e+04,3.835e+04,8.095e+05
64.4,5.173e+05,7.063e+04,3.202e+04,6.199e+05
65.9,3.953e+05,6.425e+04,2.751e+04,4.870e+05
67.4,2.952e+05,5.540e+04,2.148e+04,3.721e+05
69.0,2.065e+05,4.884e+04,1.793e+04,2.733e+05
70.5,2.566e+05,7.795e+04,3.913e+04,3.737e+05
72.0,3.021e+05,1.042e+05,4.990e+04,4.562e+05
73.6,2.465e+05,9.523e+04,3.809e+04,3.798e+05
75.1,2.034e+05,8.905e+04,3.130e+04,3.237e+05
76.6,1.724e+05,8.859e+04,2.935e+04,2.903e+05
78.2,1.487e+05,9.027e+04,2.833e+04,2.673e+05
79.7,1.276e+05,9.042e+04,2.737e+04,2.454e+05
81.2,1.124e+05,9.502e+04,2.755e+04,2.350e+05
82.8,9.853e+04,9.569e+04,2.675e+04,2.210e+05
84.3,8.960e+04,9.254e+04,2.505e+04,2.072e+05
85.8,8.249e+04,8.389e+04,2.210e+04,1.885e+05
87.4,7.361e+04,7.920e+04,2.002e+04,1.728e+05
88.9,6.672e+04,8.542e+04,2.028e+04,1.724e+05
90.4,5.925e+04,8.854e+04,2.038e+04,1.682e+05
92.0,5.452e+04,9.623e+04,2.106e+04,1.718e+05
93.5,4.989e+04,1.009e+05,2.124e+04,1.720e+05
95.0,4.526e+04,1.055e+05,2.205e+04,1.728e+05
96.5,4.032e+04,1.117e+05,2.380e+04,1.759e+05
98.1,3.583e+04,1.143e+05,2.546e+04,1.756e+05
99.6,3.219e+04,1.246e+05,2.810e+04,1.849e+05
101.1,2.936e+04,1.355e+05,3.291e+04,1.977e+05
102.7,2.783e+04,1.506e+05,4.151e+04,2.200e+05
104.2,2.702e+04,1.631e+05,4.864e+04,2.388e+05
105.7,2.663e+04,1.560e+05,4.590e+04,2.286e+05
107.3,2.661e+04,1.430e+05,3.626e+04,2.059e+05
108.8,2.576e+04,1.323e+05,2.778e+04,1.859e+05
110.3,2.318e+04,1.371e+05,2.411e+04,1.844e+05
111.9,2.052e+04,1.566e+05,2.312e+04,2.002e+05
113.4,1.760e+04,1.781e+05,2.395e+04,2.197e+05
114.9,1.517e+04,2.166e+05,2.722e+04,2.590e+05
116.5,1.370e+04,2.610e+05,3.319e+04,3.079e+05
118.0,1.180e+04,2.950e+05,3.699e+04,3.438e+05
119.5,7.228e+03,1.941e+05,2.349e+04,2.249e+05
121.1,2.311e+03,4.145e+04,5.229e+03,4.899e+04
122.6,1.162e+03,2.631e+04,2.932e+03,3.041e+04
124.1,9.894e+02,2.357e+04,2.383e+03,2.694e+04
125.7,1.124e+03,2.747e+04,2.368e+03,3.097e+04
127.2,7.939e+02,2.140e+04,1.713e+03,2.390e+04
128.7,4.969e+02,1.539e+04,1.176e+03,1.707e+04
130.3,3.425e+02,1.292e+04,9.773e+02,1.424e+04
131.8,2.978e+02,1.295e+04,9.477e+02,1.419e+04
133.3,3.771e+02,1.271e+04,1.075e+03,1.416e+04
134.9,4.365e+02,9.978e+03,8.049e+02,1.122e+04
136.4,4.698e+02,1.065e+04,8.239e+02,1.194e+04
137.9,4.088e+02,1.295e+04,9.259e+02,1.429e+04
139.5,4.384e+02,1.828e+04,1.052e+03,1.977e+04
141.0,5.067e+02,2.186e+04,1.127e+03,2.349e+04
142.5,3.835e+02,2.164e+04,1.256e+03,2.327e+04
144.1,3.869e+02,2.174e+04,1.477e+03,2.361e+04
145.6,3.944e+02,2.510e+04,1.695e+03,2.719e+04
147.1,5.455e+02,2.886e+04,1.939e+03,3.135e+04
148.7,5.935e+02,3.925e+04,2.013e+03,4.186e+04
150.2,7.539e+02,5.110e+04,2.258e+03,5.412e+04
151.7,1.121e+03,6.081e+04,2.139e+03,6.407e+04
153.3,2.374e+03,9.421e+04,2.888e+03,9.947e+04
154.8,4.201e+03,1.152e+05,3.972e+03,1.234e+05
156.3,6.811e+03,1.200e+05,7.387e+03,1.342e+05
157.8,8.049e+03,1.244e+05,1.032e+04,1.428e+05
159.4,7.986e+03,1.301e+05,9.159e+03,1.473e+05
