freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.172e+00,2.541e+02,2.563e+01,2.819e+02
1.5,8.615e+00,1.501e+02,2.965e+01,1.884e+02
3.1,9.289e+00,1.196e+01,2.203e+01,4.329e+01
4.6,9.822e+00,1.286e+01,2.273e+01,4.541e+01
6.2,1.021e+01,1.323e+01,2.098e+01,4.442e+01
7.7,1.033e+01,1.305e+01,2.087e+01,4.425e+01
9.2,1.022e+01,1.160e+01,2.238e+01,4.420e+01
10.8,1.027e+01,1.229e+01,2.029e+01,4.285e+01
12.3,1.096e+01,1.357e+01,2.067e+01,4.520e+01
13.8,1.116e+01,1.363e+01,2.130e+01,4.608e+01
15.4,1.298e+01,1.544e+01,2.160e+01,5.002e+01
16.9,1.216e+01,2.204e+01,1.993e+01,5.413e+01
18.5,1.146e+01,2.175e+02,2.143e+01,2.504e+02
20.0,1.345e+01,4.946e+03,2.691e+01,4.987e+03
21.5,1.603e+01,1.360e+04,3.704e+01,1.365e+04
23.1,1.878e+01,2.007e+04,5.449e+01,2.014e+04
24.6,1.711e+01,2.623e+04,1.108e+02,2.636e+04
26.1,1.443e+01,3.433e+04,1.442e+02,3.449e+04
27.7,1.171e+01,4.610e+04,9.772e+01,4.621e+04
29.2,1.190e+01,6.117e+04,8.360e+01,6.126e+04
30.8,1.499e+01,8.586e+04,1.516e+02,8.603e+04
32.3,2.321e+01,1.242e+05,2.744e+02,1.245e+05
33.8,2.694e+01,1.819e+05,3.415e+02,1.823e+05
35.4,8.126e+01,2.758e+05,6.006e+02,2.765e+05
36.9,2.822e+02,3.469e+05,1.458e+03,3.487e+05
38.4,4.841e+02,3.187e+05,2.877e+03,3.221e+05
40.0,5.984e+02,2.306e+05,4.041e+03,2.352e+05
41.5,6.124e+02,1.696e+05,4.870e+03,1.751e+05
43.1,9.269e+02,1.981e+05,7.067e+03,2.061e+05
44.6,1.406e+03,3.253e+05,1.131e+04,3.380e+05
46.1,1.434e+03,5.244e+05,1.716e+04,5.430e+05
47.7,6.777e+02,6.510e+05,2.118e+04,6.729e+05
49.2,1.098e+02,5.778e+05,2.136e+04,5.993e+05
50.7,1.933e+01,4.266e+05,2.132e+04,4.479e+05
52.3,6.319e+01,2.848e+05,1.811e+04,3.030e+05
53.8,1.640e+02,1.935e+05,1.532e+04,2.090e+05
55.4,3.621e+02,1.457e+05,1.559e+04,1.617e+05
56.9,5.584e+02,1.166e+05,1.664e+04,1.338e+05
58.4,6.442e+02,9.320e+04,1.640e+04,1.102e+05
60.0,8.220e+02,7.755e+04,1.580e+04,9.418e+04
61.5,1.359e+03,7.286e+04,1.640e+04,9.062e+04
63.0,2.117e+03,6.477e+04,1.846e+04,8.535e+04
64.6,2.415e+03,5.696e+04,2.401e+04,8.339e+04
66.1,1.811e+03,5.374e+04,2.777e+04,8.332e+04
67.7,5.923e+02,5.832e+04,3.420e+04,9.311e+04
69.2,3.829e+02,6.777e+04,4.756e+04,1.157e+05
70.7,2.321e+02,6.312e+04,5.791e+04,1.213e+05
72.3,7.061e+01,4.449e+04,5.559e+04,1.001e+05
73.8,4.606e+01,2.867e+04,5.108e+04,7.980e+04
75.3,6.294e+01,1.977e+04,5.687e+04,7.670e+04
76.9,1.338e+02,1.431e+04,7.721e+04,9.165e+04
78.4,2.898e+02,1.068e+04,1.084e+05,1.194e+05
80.0,4.453e+02,8.558e+03,1.257e+05,1.348e+05
81.5,5.605e+02,7.450e+03,1.224e+05,1.305e+05
83.0,6.870e+02,7.993e+03,1.195e+05,1.281e+05
84.6,9.465e+02,9.353e+03,1.178e+05,1.281e+05
86.1,1.474e+03,1.052e+04,1.092e+05,1.212e+05
87.6,1.588e+03,1.049e+04,8.906e+04,1.011e+05
89.2,9.465e+02,9.362e+03,6.700e+04,7.731e+04
90.7,4.949e+02,8.530e+03,4.806e+04,5.709e+04
92.3,3.153e+02,8.318e+03,2.835e+04,3.698e+04
93.8,2.277e+02,8.184e+03,1.280e+04,2.121e+04
95.3,2.120e+02,7.738e+03,5.593e+03,1.354e+04
96.9,2.490e+02,7.401e+03,3.884e+03,1.153e+04
98.4,3.638e+02,7.439e+03,4.084e+03,1.189e+04
99.9,5.724e+02,7.839e+03,4.447e+03,1.286e+04
101.5,8.003e+02,8.209e+03,4.463e+03,1.347e+04
103.0,1.048e+03,8.049e+03,3.919e+03,1.302e+04
104.6,1.209e+03,7.277e+03,3.073e+03,1.156e+04
106.1,8.851e+02,6.706e+03,3.262e+03,1.085e+04
107.6,2.923e+02,6.478e+03,3.909e+03,1.068e+04
109.2,5.270e+01,6.096e+03,3.710e+03,9.858e+03
110.7,1.977e+01,5.474e+03,3.140e+03,8.634e+03
112.2,2.423e+01,4.832e+03,2.635e+03,7.491e+03
113.8,3.981e+01,4.318e+03,2.246e+03,6.604e+03
115.3,5.605e+01,3.829e+03,1.880e+03,5.765e+03
116.9,5.651e+01,3.223e+03,1.530e+03,4.810e+03
118.4,4.625e+01,2.500e+03,1.168e+03,3.714e+03
119.9,3.126e+01,9.328e+02,4.570e+02,1.421e+03
121.5,2.068e+01,5.888e+01,5.432e+01,1.339e+02
123.0,1.898e+01,1.860e+01,3.312e+01,7.070e+01
124.6,2.197e+01,3.262e+01,5.205e+01,1.066e+02
126.1,1.874e+01,4.334e+01,5.425e+01,1.163e+02
127.6,1.928e+01,3.929e+01,4.406e+01,1.026e+02
129.2,1.899e+01,3.187e+01,3.994e+01,9.081e+01
130.7,2.293e+01,3.114e+01,1.559e+02,2.100e+02
132.2,2.642e+01,3.759e+01,3.054e+02,3.694e+02
133.8,2.381e+01,3.493e+01,1.017e+02,1.605e+02
135.3,2.402e+01,3.540e+01,7.687e+01,1.363e+02
136.9,2.679e+01,4.816e+01,7.847e+01,1.534e+02
138.4,2.945e+01,7.187e+01,1.106e+02,2.119e+02
139.9,3.354e+01,9.640e+01,1.717e+02,3.016e+02
141.5,3.471e+01,1.238e+02,2.315e+02,3.900e+02
143.0,3.313e+01,1.353e+02,2.232e+02,3.917e+02
144.5,3.323e+01,1.333e+02,1.800e+02,3.465e+02
146.1,2.888e+01,1.226e+02,1.406e+02,2.920e+02
147.6,2.774e+01,1.128e+02,1.058e+02,2.464e+02
149.2,2.746e+01,1.011e+02,8.679e+01,2.153e+02
150.7,3.094e+01,9.026e+01,9.421e+01,2.154e+02
152.2,3.997e+01,8.167e+01,1.021e+02,2.238e+02
153.8,5.438e+01,7.515e+01,1.315e+02,2.610e+02
155.3,8.603e+01,6.964e+01,1.911e+02,3.468e+02
156.8,1.809e+02,7.232e+01,2.708e+02,5.240e+02
158.4,3.166e+02,9.039e+01,3.173e+02,7.243e+02
159.9,3.827e+02,1.034e+02,2.966e+02,7.827e+02
161.5,3.322e+02,1.015e+02,2.413e+02,6.750e+02
163.0,3.311e+02,9.574e+01,2.034e+02,6.303e+02
164.5,3.916e+02,9.990e+01,1.533e+02,6.448e+02
166.1,3.688e+02,1.278e+02,1.215e+02,6.181e+02
167.6,2.003e+02,1.671e+02,1.011e+02,4.685e+02
169.1,8.446e+01,1.786e+02,9.152e+01,3.546e+02
170.7,5.397e+01,1.610e+02,8.360e+01,2.986e+02
172.2,4.586e+01,1.335e+02,7.462e+01,2.540e+02
173.8,4.451e+01,1.143e+02,6.369e+01,2.225e+02
175.3,4.333e+01,1.094e+02,5.088e+01,2.036e+02
176.8,5.825e+01,1.055e+02,4.425e+01,2.080e+02
178.4,8.562e+01,1.225e+02,3.837e+01,2.465e+02
179.9,7.048e+01,1.499e+02,3.470e+01,2.551e+02
