freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.954e+02,6.190e+00,1.120e+01,4.128e+02
1.5,2.337e+02,1.318e+01,2.071e+01,2.676e+02
3.1,1.147e+01,1.281e+01,1.975e+01,4.404e+01
4.6,1.261e+01,1.243e+01,2.068e+01,4.572e+01
6.1,1.307e+01,1.289e+01,2.009e+01,4.606e+01
7.7,1.257e+01,1.188e+01,1.809e+01,4.254e+01
9.2,1.269e+01,1.162e+01,2.011e+01,4.442e+01
10.8,1.249e+01,1.183e+01,1.916e+01,4.348e+01
12.3,1.198e+01,1.244e+01,1.853e+01,4.295e+01
13.8,1.228e+01,1.225e+01,2.025e+01,4.478e+01
15.4,1.199e+01,1.133e+01,1.971e+01,4.303e+01
16.9,1.229e+01,1.136e+01,2.007e+01,4.372e+01
18.4,7.623e+02,1.199e+01,1.916e+01,7.935e+02
20.0,1.373e+04,2.315e+01,2.081e+01,1.378e+04
21.5,3.762e+04,2.477e+02,4.125e+01,3.791e+04
23.0,4.181e+04,1.549e+03,1.251e+02,4.348e+04
24.6,2.459e+04,2.705e+03,1.756e+02,2.747e+04
26.1,1.659e+04,1.806e+03,1.032e+02,1.850e+04
27.7,1.806e+04,6.124e+02,4.345e+01,1.872e+04
29.2,2.460e+04,1.901e+02,2.990e+01,2.482e+04
30.7,3.464e+04,1.034e+02,3.217e+01,3.477e+04
32.3,4.630e+04,8.024e+01,3.930e+01,4.642e+04
33.8,5.756e+04,7.347e+01,5.588e+01,5.769e+04
35.3,7.658e+04,9.680e+01,1.112e+02,7.679e+04
36.9,1.086e+05,1.492e+02,2.171e+02,1.090e+05
38.4,1.519e+05,2.314e+02,4.262e+02,1.526e+05
40.0,1.560e+05,4.576e+02,9.092e+02,1.574e+05
41.5,1.199e+05,1.101e+03,2.642e+03,1.236e+05
43.0,1.385e+05,3.401e+03,1.182e+04,1.537e+05
44.6,2.134e+05,9.383e+03,4.208e+04,2.649e+05
46.1,3.305e+05,1.123e+04,6.113e+04,4.029e+05
47.6,5.605e+05,6.151e+03,4.392e+04,6.105e+05
