freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.750e+00,2.305e+02,2.316e+01,2.624e+02
1.5,1.318e+01,1.413e+02,2.968e+01,1.841e+02
3.1,1.119e+01,1.172e+01,2.058e+01,4.349e+01
4.6,1.024e+01,1.113e+01,2.034e+01,4.172e+01
6.1,1.041e+01,1.262e+01,2.136e+01,4.439e+01
7.7,1.108e+01,1.194e+01,2.074e+01,4.376e+01
9.2,1.096e+01,1.312e+01,2.026e+01,4.434e+01
10.7,1.019e+01,1.365e+01,2.123e+01,4.506e+01
12.3,1.086e+01,1.359e+01,2.012e+01,4.456e+01
13.8,1.135e+01,1.263e+01,1.968e+01,4.365e+01
15.3,1.080e+01,1.327e+01,1.930e+01,4.337e+01
16.9,1.139e+01,1.278e+01,2.058e+01,4.475e+01
18.4,1.287e+01,7.805e+02,2.202e+01,8.154e+02
19.9,8.630e+01,1.653e+04,3.223e+01,1.665e+04
21.5,7.288e+02,4.699e+04,9.894e+01,4.782e+04
23.0,2.067e+03,5.218e+04,2.059e+02,5.445e+04
24.5,1.607e+03,3.744e+04,1.990e+02,3.924e+04
26.1,5.615e+02,2.034e+04,1.757e+02,2.108e+04
27.6,2.244e+02,1.354e+04,1.485e+02,1.391e+04
29.1,1.120e+02,1.548e+04,1.195e+02,1.571e+04
30.7,5.456e+01,2.392e+04,9.431e+01,2.407e+04
32.2,3.328e+01,3.634e+04,6.618e+01,3.644e+04
33.7,2.843e+01,5.126e+04,4.259e+01,5.133e+04
35.2,2.495e+01,7.822e+04,2.826e+01,7.827e+04
36.8,2.532e+01,1.322e+05,3.173e+01,1.323e+05
38.3,1.595e+02,2.415e+05,1.087e+02,2.417e+05
39.8,1.262e+03,4.771e+05,5.083e+02,4.788e+05
41.4,3.032e+03,8.277e+05,1.803e+03,8.326e+05
42.9,3.202e+03,9.090e+05,6.908e+03,9.192e+05
44.4,2.803e+03,7.373e+05,1.548e+04,7.556e+05
46.0,2.724e+03,5.498e+05,1.940e+04,5.719e+05
47.5,3.502e+03,3.726e+05,1.682e+04,3.929e+05
49.0,7.504e+03,2.645e+05,1.258e+04,2.846e+05
50.6,1.157e+04,2.096e+05,1.034e+04,2.316e+05
52.1,9.426e+03,1.671e+05,9.517e+03,1.861e+05
