freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.405e+03,5.094e+01,4.474e+01,2.500e+03
1.5,1.584e+03,5.596e+01,9.589e+01,1.736e+03
3.0,2.320e+02,3.397e+01,9.442e+01,3.604e+02
4.5,2.120e+02,3.133e+01,1.067e+02,3.500e+02
6.0,2.167e+02,2.879e+01,1.153e+02,3.608e+02
7.5,2.077e+02,3.319e+01,1.002e+02,3.411e+02
8.9,1.814e+02,3.244e+01,8.835e+01,3.022e+02
10.4,1.862e+02,3.574e+01,9.134e+01,3.133e+02
11.9,1.772e+02,3.544e+01,9.041e+01,3.030e+02
13.4,1.953e+02,3.256e+01,9.554e+01,3.234e+02
14.9,1.867e+02,3.417e+01,9.537e+01,3.162e+02
16.4,2.025e+02,3.473e+01,9.817e+01,3.354e+02
17.9,4.001e+02,3.276e+01,9.826e+01,5.311e+02
19.4,1.915e+04,3.580e+01,9.803e+01,1.928e+04
20.9,8.783e+04,5.413e+01,1.133e+02,8.800e+04
22.4,1.262e+05,7.509e+01,1.107e+02,1.264e+05
23.9,1.533e+05,9.056e+01,1.109e+02,1.535e+05
25.3,1.899e+05,1.094e+02,1.226e+02,1.902e+05
26.8,2.311e+05,1.356e+02,1.305e+02,2.314e+05
28.3,2.705e+05,1.752e+02,1.429e+02,2.709e+05
29.8,3.003e+05,1.890e+02,1.737e+02,3.006e+05
31.3,3.382e+05,2.415e+02,1.853e+02,3.386e+05
32.8,3.879e+05,4.004e+02,1.892e+02,3.885e+05
34.3,4.559e+05,6.379e+02,2.115e+02,4.567e+05
35.8,5.474e+05,1.054e+03,2.495e+02,5.487e+05
37.3,7.221e+05,2.281e+03,3.477e+02,7.247e+05
38.8,1.044e+06,4.921e+03,4.770e+02,1.049e+06
40.2,1.560e+06,1.276e+04,8.006e+02,1.574e+06
41.7,2.321e+06,5.562e+04,1.198e+03,2.378e+06
43.2,3.017e+06,1.220e+05,1.568e+03,3.141e+06
44.7,3.835e+06,9.829e+04,2.313e+03,3.936e+06
46.2,5.552e+06,6.942e+04,4.564e+03,5.626e+06
47.7,7.595e+06,6.427e+04,1.120e+04,7.670e+06
49.2,9.024e+06,9.330e+04,2.335e+04,9.141e+06
50.7,7.980e+06,1.076e+05,3.318e+04,8.121e+06
52.2,6.864e+06,7.570e+04,4.586e+04,6.985e+06
53.7,6.215e+06,4.143e+04,6.614e+04,6.323e+06
55.2,4.745e+06,2.762e+04,8.107e+04,4.854e+06
56.6,3.369e+06,1.805e+04,8.656e+04,3.473e+06
58.1,2.362e+06,1.303e+04,8.345e+04,2.459e+06
59.6,1.865e+06,1.078e+04,7.873e+04,1.954e+06
61.1,1.573e+06,8.876e+03,6.686e+04,1.649e+06
62.6,1.248e+06,6.632e+03,4.414e+04,1.299e+06
64.1,9.324e+05,4.591e+03,2.264e+04,9.596e+05
65.6,6.763e+05,3.458e+03,1.141e+04,6.911e+05
67.1,4.938e+05,3.171e+03,1.535e+04,5.123e+05
68.6,3.927e+05,2.911e+03,2.549e+04,4.211e+05
70.1,3.084e+05,2.032e+03,1.933e+04,3.298e+05
71.6,2.417e+05,2.387e+03,1.706e+04,2.612e+05
73.0,2.000e+05,7.399e+03,1.651e+04,2.239e+05
74.5,1.804e+05,1.370e+04,1.353e+04,2.077e+05
76.0,1.899e+05,1.548e+04,1.232e+04,2.177e+05
77.5,2.019e+05,1.971e+04,1.168e+04,2.333e+05
79.0,2.217e+05,2.054e+04,1.566e+04,2.579e+05
80.5,2.358e+05,1.325e+04,2.228e+04,2.713e+05
82.0,2.737e+05,2.030e+04,2.897e+04,3.230e+05
83.5,2.737e+05,9.908e+04,4.703e+04,4.198e+05
85.0,2.702e+05,2.076e+05,7.316e+04,5.510e+05
86.5,2.685e+05,3.044e+05,9.894e+04,6.718e+05
87.9,1.766e+05,1.724e+05,5.854e+04,4.076e+05
89.4,6.889e+04,1.232e+05,3.810e+04,2.302e+05
90.9,3.464e+04,1.981e+05,1.026e+05,3.353e+05
92.4,5.170e+04,1.666e+05,1.629e+05,3.812e+05
93.9,7.602e+04,9.416e+04,1.304e+05,3.006e+05
95.4,5.999e+04,7.705e+04,1.008e+05,2.378e+05
96.9,6.157e+04,5.676e+04,7.894e+04,1.973e+05
98.4,6.601e+04,2.916e+04,4.198e+04,1.372e+05
99.9,3.126e+04,9.511e+03,2.057e+04,6.135e+04
101.4,1.232e+04,3.078e+03,1.373e+04,2.912e+04
102.9,1.794e+04,5.549e+03,1.197e+04,3.546e+04
104.3,1.979e+04,9.199e+03,8.243e+03,3.723e+04
105.8,7.599e+03,4.754e+03,2.581e+03,1.493e+04
107.3,1.717e+03,2.112e+03,1.407e+03,5.236e+03
108.8,5.588e+03,1.916e+03,2.867e+03,1.037e+04
110.3,1.160e+04,1.514e+03,3.918e+03,1.703e+04
111.8,1.886e+04,1.853e+03,4.394e+03,2.511e+04
113.3,2.669e+04,1.785e+03,4.261e+03,3.273e+04
114.8,3.348e+04,1.776e+03,3.852e+03,3.911e+04
116.3,4.000e+04,1.901e+03,3.245e+03,4.514e+04
117.8,4.737e+04,1.951e+03,2.739e+03,5.206e+04
119.3,5.656e+04,1.892e+03,2.594e+03,6.104e+04
120.7,6.690e+04,1.796e+03,2.473e+03,7.117e+04
122.2,7.675e+04,1.787e+03,2.213e+03,8.075e+04
123.7,8.355e+04,1.881e+03,1.961e+03,8.739e+04
125.2,9.062e+04,1.924e+03,1.827e+03,9.437e+04
126.7,9.656e+04,1.983e+03,1.654e+03,1.002e+05
128.2,9.215e+04,2.045e+03,1.502e+03,9.569e+04
129.7,8.420e+04,1.914e+03,1.412e+03,8.753e+04
131.2,7.752e+04,1.608e+03,1.306e+03,8.043e+04
132.7,6.927e+04,1.295e+03,1.194e+03,7.176e+04
134.2,5.887e+04,1.273e+03,1.205e+03,6.134e+04
135.7,5.516e+04,1.374e+03,1.598e+03,5.813e+04
137.1,5.828e+04,1.138e+03,1.796e+03,6.121e+04
138.6,4.924e+04,7.771e+02,1.410e+03,5.142e+04
140.1,4.074e+04,6.309e+02,9.472e+02,4.232e+04
141.6,3.660e+04,6.476e+02,8.676e+02,3.812e+04
143.1,2.504e+04,6.941e+02,8.569e+02,2.659e+04
144.6,1.466e+04,5.717e+02,6.962e+02,1.593e+04
146.1,8.383e+03,4.723e+02,4.539e+02,9.310e+03
147.6,5.822e+03,7.191e+02,3.665e+02,6.907e+03
149.1,6.339e+03,1.394e+03,4.170e+02,8.149e+03
150.6,8.821e+03,1.905e+03,3.999e+02,1.113e+04
152.0,1.274e+04,2.103e+03,2.684e+02,1.511e+04
153.5,1.625e+04,2.261e+03,2.909e+02,1.880e+04
155.0,1.765e+04,2.515e+03,4.761e+02,2.065e+04
156.5,1.558e+04,1.297e+03,5.979e+02,1.747e+04
158.0,1.235e+04,6.046e+02,5.730e+02,1.353e+04
159.5,1.676e+04,6.941e+02,5.499e+02,1.801e+04
161.0,2.137e+04,7.188e+02,5.322e+02,2.262e+04
162.5,2.368e+04,9.441e+02,5.806e+02,2.520e+04
164.0,2.465e+04,1.352e+03,7.068e+02,2.670e+04
165.5,2.610e+04,1.858e+03,8.110e+02,2.877e+04
167.0,2.675e+04,1.890e+03,7.433e+02,2.939e+04
168.4,2.647e+04,2.214e+03,8.407e+02,2.952e+04
169.9,2.317e+04,2.163e+03,8.908e+02,2.622e+04
171.4,1.827e+04,2.496e+03,9.188e+02,2.169e+04
172.9,1.629e+04,5.497e+03,1.278e+03,2.307e+04
174.4,1.616e+04,5.830e+03,1.312e+03,2.331e+04
175.9,1.606e+04,4.098e+03,1.025e+03,2.118e+04
177.4,1.639e+04,3.791e+03,1.111e+03,2.129e+04
178.9,1.581e+04,3.965e+03,1.378e+03,2.115e+04
180.4,1.534e+04,3.681e+03,1.506e+03,2.053e+04
181.9,1.508e+04,3.954e+03,1.381e+03,2.042e+04
183.4,1.589e+04,7.400e+03,1.452e+03,2.474e+04
184.8,1.840e+04,1.695e+04,1.935e+03,3.728e+04
186.3,1.894e+04,2.247e+04,2.547e+03,4.395e+04
187.8,1.785e+04,2.518e+04,2.157e+03,4.519e+04
189.3,1.728e+04,1.283e+04,1.474e+03,3.159e+04
190.8,1.738e+04,8.483e+03,1.511e+03,2.737e+04
192.3,1.665e+04,7.303e+03,1.355e+03,2.531e+04
193.8,1.563e+04,6.998e+03,1.411e+03,2.404e+04
195.3,1.634e+04,7.482e+03,1.716e+03,2.553e+04
196.8,1.532e+04,8.046e+03,1.791e+03,2.515e+04
198.3,1.319e+04,6.903e+03,1.901e+03,2.200e+04
199.7,1.107e+04,3.644e+03,1.748e+03,1.646e+04
