freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.571e+01,3.461e+03,8.276e+01,3.579e+03
1.5,4.245e+01,1.942e+03,6.308e+01,2.048e+03
3.0,3.307e+01,2.285e+01,2.351e+01,7.943e+01
4.5,3.218e+01,2.705e+01,2.450e+01,8.373e+01
6.0,3.458e+01,2.802e+01,2.685e+01,8.945e+01
7.5,3.158e+01,2.707e+01,2.594e+01,8.459e+01
8.9,3.275e+01,2.798e+01,2.476e+01,8.549e+01
10.4,3.495e+01,2.745e+01,2.505e+01,8.745e+01
11.9,3.217e+01,2.829e+01,2.604e+01,8.649e+01
13.4,3.285e+01,3.184e+01,2.694e+01,9.164e+01
14.9,3.280e+01,3.390e+01,2.502e+01,9.173e+01
16.4,3.548e+01,3.704e+01,2.517e+01,9.769e+01
17.9,3.441e+01,1.732e+02,2.282e+01,2.304e+02
19.4,3.404e+01,1.592e+04,2.299e+01,1.598e+04
20.9,3.350e+01,7.904e+04,2.154e+01,7.909e+04
22.4,3.545e+01,1.243e+05,2.271e+01,1.243e+05
23.8,4.351e+01,1.628e+05,2.341e+01,1.629e+05
25.3,6.236e+01,2.122e+05,2.415e+01,2.123e+05
26.8,9.696e+01,2.775e+05,2.291e+01,2.776e+05
28.3,1.465e+02,3.605e+05,2.526e+01,3.607e+05
29.8,2.047e+02,4.677e+05,2.872e+01,4.679e+05
31.3,3.131e+02,6.222e+05,2.913e+01,6.225e+05
32.8,6.095e+02,8.479e+05,3.101e+01,8.486e+05
34.3,1.396e+03,1.255e+06,3.792e+01,1.256e+06
35.8,7.993e+03,2.132e+06,9.840e+01,2.140e+06
37.3,5.194e+04,4.222e+06,3.165e+02,4.274e+06
38.7,7.435e+04,6.798e+06,9.465e+02,6.873e+06
40.2,2.857e+04,9.471e+06,1.905e+03,9.501e+06
41.7,3.934e+04,9.881e+06,2.293e+03,9.922e+06
43.2,8.090e+04,7.791e+06,2.490e+03,7.875e+06
44.7,4.290e+04,6.312e+06,3.992e+03,6.359e+06
46.2,2.278e+04,6.098e+06,5.044e+03,6.126e+06
47.7,4.814e+04,5.663e+06,5.081e+03,5.716e+06
49.2,6.450e+04,4.725e+06,5.997e+03,4.795e+06
50.7,7.609e+04,3.877e+06,7.930e+03,3.961e+06
52.2,9.597e+04,3.363e+06,8.748e+03,3.467e+06
53.7,8.143e+04,3.033e+06,7.314e+03,3.122e+06
55.1,4.516e+04,2.710e+06,4.583e+03,2.760e+06
56.6,2.210e+04,2.409e+06,1.628e+03,2.432e+06
58.1,1.386e+04,2.143e+06,9.697e+02,2.158e+06
59.6,1.075e+04,1.973e+06,3.313e+03,1.987e+06
61.1,8.557e+03,1.835e+06,7.803e+03,1.852e+06
62.6,8.603e+03,1.702e+06,1.095e+04,1.721e+06
64.1,9.799e+03,1.595e+06,9.342e+03,1.614e+06
65.6,9.739e+03,1.475e+06,1.191e+04,1.496e+06
67.1,9.731e+03,1.295e+06,2.156e+04,1.327e+06
68.6,7.770e+03,1.128e+06,2.947e+04,1.166e+06
70.0,6.586e+03,1.012e+06,2.732e+04,1.046e+06
71.5,9.513e+03,8.582e+05,2.240e+04,8.901e+05
73.0,1.727e+04,7.509e+05,2.215e+04,7.903e+05
74.5,1.835e+04,6.999e+05,2.368e+04,7.420e+05
76.0,1.484e+04,6.718e+05,2.376e+04,7.104e+05
77.5,1.305e+04,6.657e+05,2.779e+04,7.066e+05
79.0,1.067e+04,7.737e+05,4.429e+04,8.287e+05
80.5,6.337e+03,9.076e+05,7.375e+04,9.877e+05
82.0,5.604e+03,8.111e+05,1.034e+05,9.201e+05
83.5,6.135e+03,7.021e+05,1.331e+05,8.413e+05
85.0,2.466e+04,6.649e+05,1.647e+05,8.543e+05
86.4,9.841e+04,7.476e+05,2.310e+05,1.077e+06
87.9,1.247e+05,1.267e+06,4.793e+05,1.871e+06
89.4,1.037e+05,1.085e+06,5.247e+05,1.713e+06
90.9,9.629e+04,8.869e+05,7.126e+05,1.696e+06
92.4,8.330e+04,9.075e+05,1.269e+06,2.260e+06
93.9,4.905e+04,8.301e+05,1.428e+06,2.308e+06
95.4,2.251e+04,5.820e+05,1.059e+06,1.664e+06
96.9,1.042e+04,3.768e+05,9.527e+05,1.340e+06
98.4,4.327e+03,1.933e+05,8.302e+05,1.028e+06
99.9,3.194e+03,7.575e+04,3.195e+05,3.984e+05
101.3,5.091e+03,3.265e+04,2.629e+04,6.403e+04
102.8,7.908e+03,3.281e+04,8.741e+03,4.946e+04
104.3,8.564e+03,3.426e+04,7.261e+03,5.008e+04
105.8,3.536e+03,2.236e+04,8.485e+03,3.438e+04
107.3,1.437e+03,8.863e+03,7.697e+03,1.800e+04
108.8,2.744e+03,6.143e+03,5.398e+03,1.428e+04
110.3,4.414e+03,5.060e+03,3.439e+03,1.291e+04
