freq,psd_x,psd_y,psd_z,psd_xyz,zv(50.8),mzv(49.8),ei(59.8),2hump_ei(74.8),3hump_ei(90.4)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.995,0.993,0.992,0.990,0.989
3.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.988,0.982,0.980,0.977,0.974
4.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.979,0.969,0.966,0.960,0.957
6.0,2.814e+02,8.092e+00,1.669e+02,4.563e+02,0.968,0.954,0.948,0.941,0.936
7.5,2.323e+02,6.551e+00,1.351e+02,3.739e+02,0.954,0.935,0.928,0.919,0.912
9.0,1.964e+02,5.487e+00,1.119e+02,3.137e+02,0.939,0.915,0.906,0.894,0.886
10.5,1.676e+02,5.046e+00,9.828e+01,2.709e+02,0.923,0.892,0.881,0.867,0.857
12.0,1.543e+02,4.436e+00,9.006e+01,2.488e+02,0.904,0.867,0.853,0.837,0.826
13.5,1.412e+02,4.047e+00,7.968e+01,2.250e+02,0.883,0.839,0.824,0.805,0.793
15.0,1.188e+02,3.594e+00,6.772e+01,1.901e+02,0.861,0.810,0.792,0.772,0.758
16.5,1.089e+02,3.472e+00,6.223e+01,1.746e+02,0.837,0.779,0.759,0.737,0.722
18.0,1.124e+02,3.078e+00,5.844e+01,1.740e+02,0.812,0.747,0.724,0.700,0.684
19.5,8.018e+02,2.909e+00,5.853e+01,8.633e+02,0.785,0.713,0.688,0.663,0.646
21.0,2.826e+03,3.259e+00,5.278e+01,2.882e+03,0.756,0.678,0.651,0.624,0.606
22.5,3.659e+03,3.161e+00,4.556e+01,3.708e+03,0.726,0.641,0.613,0.585,0.567
24.0,4.139e+03,3.103e+00,4.116e+01,4.183e+03,0.695,0.604,0.575,0.546,0.527
25.4,4.816e+03,3.808e+00,3.842e+01,4.858e+03,0.662,0.566,0.536,0.507,0.488
26.9,5.133e+03,4.163e+00,4.006e+01,5.177e+03,0.629,0.528,0.496,0.468,0.448
28.4,5.618e+03,4.242e+00,4.115e+01,5.664e+03,0.594,0.489,0.457,0.429,0.410
29.9,6.257e+03,4.773e+00,3.916e+01,6.301e+03,0.558,0.450,0.418,0.391,0.372
31.4,6.928e+03,6.157e+00,3.532e+01,6.970e+03,0.521,0.411,0.380,0.353,0.335
32.9,7.584e+03,8.425e+00,3.178e+01,7.624e+03,0.484,0.372,0.342,0.317,0.300
34.4,8.451e+03,1.198e+01,3.257e+01,8.496e+03,0.446,0.334,0.305,0.282,0.266
35.9,9.562e+03,1.727e+01,3.467e+01,9.614e+03,0.407,0.296,0.270,0.249,0.234
37.4,1.191e+04,2.723e+01,3.632e+01,1.197e+04,0.367,0.259,0.235,0.217,0.203
38.9,1.632e+04,5.411e+01,3.825e+01,1.641e+04,0.327,0.223,0.202,0.187,0.175
