freq,psd_x,psd_y,psd_z,psd_xyz,zv(45.0),mzv(42.6),ei(39.0),2hump_ei(62.8),3hump_ei(75.2)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.994,0.991,0.986,0.988,0.986
3.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.986,0.978,0.965,0.971,0.967
4.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.975,0.962,0.937,0.950,0.944
6.0,5.125e+00,3.855e+00,3.725e+00,1.270e+01,0.961,0.942,0.902,0.924,0.917
7.5,4.974e+00,3.384e+00,3.366e+00,1.172e+01,0.945,0.918,0.863,0.895,0.886
9.0,3.830e+00,2.649e+00,2.854e+00,9.333e+00,0.927,0.892,0.818,0.862,0.851
10.5,3.075e+00,2.053e+00,2.731e+00,7.859e+00,0.906,0.862,0.768,0.826,0.812
12.0,2.948e+00,1.949e+00,2.434e+00,7.331e+00,0.883,0.829,0.715,0.788,0.772
13.5,2.647e+00,1.781e+00,2.018e+00,6.447e+00,0.857,0.794,0.659,0.747,0.728
15.0,2.207e+00,1.712e+00,1.678e+00,5.597e+00,0.830,0.757,0.601,0.704,0.683
16.5,1.801e+00,1.743e+00,1.596e+00,5.141e+00,0.801,0.718,0.541,0.659,0.637
18.0,1.914e+00,1.252e+01,1.620e+00,1.606e+01,0.769,0.677,0.481,0.613,0.590
19.5,2.003e+00,6.612e+02,1.473e+00,6.647e+02,0.736,0.634,0.421,0.567,0.542
21.0,2.065e+00,2.681e+03,1.173e+00,2.684e+03,0.701,0.590,0.362,0.520,0.494
22.5,2.053e+00,3.780e+03,1.204e+00,3.783e+03,0.665,0.546,0.305,0.473,0.447
23.9,2.168e+00,4.548e+03,1.160e+00,4.551e+03,0.627,0.500,0.251,0.427,0.401
25.4,2.803e+00,5.483e+03,1.181e+00,5.487e+03,0.587,0.455,0.200,0.381,0.356
26.9,3.738e+00,6.655e+03,1.084e+00,6.660e+03,0.547,0.409,0.153,0.337,0.313
28.4,3.390e+00,8.084e+03,1.478e+00,8.089e+03,0.505,0.364,0.111,0.295,0.271
29.9,4.237e+00,9.862e+03,1.507e+00,9.868e+03,0.462,0.319,0.074,0.255,0.232
31.4,6.221e+00,1.240e+04,1.126e+00,1.241e+04,0.418,0.276,0.044,0.216,0.196
32.9,9.818e+00,1.605e+04,9.426e-01,1.606e+04,0.374,0.233,0.023,0.181,0.163
34.4,1.758e+01,2.238e+04,1.057e+00,2.240e+04,0.329,0.192,0.022,0.148,0.133
35.9,3.720e+01,3.438e+04,1.421e+00,3.441e+04,0.283,0.153,0.031,0.118,0.106
37.4,7.546e+01,5.583e+04,3.956e+00,5.591e+04,0.238,0.115,0.038,0.091,0.083
38.9,8.870e+01,9.846e+04,4.939e+01,9.860e+04,0.192,0.081,0.040,0.068,0.064
40.4,1.248e+02,1.519e+05,1.966e+02,1.523e+05,0.146,0.052,0.036,0.049,0.050
41.9,6.360e+02,1.526e+05,3.281e+02,1.536e+05,0.105,0.037,0.031,0.036,0.041
43.4,1.533e+03,1.225e+05,3.792e+02,1.244e+05,0.075,0.036,0.028,0.028,0.037
44.9,7.768e+02,1.035e+05,4.481e+02,1.047e+05,0.062,0.047,0.031,0.028,0.037
